"id","Nama","Age","Balanced","No 2b Thread-No","No 3 Thread-No","Previous Balanced","Average Balanced","No 1 Thread-No","Free Transfer","No 2a Thread-No"
"1","Liam","36","232.0","","","164","180.5","","2",""
"2","Noah","39","220.0","","","71","128.0","","3",""
"3","Oliver","51","88.0","","","81","79.5","","4",""
"4","Elijah","39","62.0","","","106","79.0","","1",""
"5","William","34","126.0","","","61","88.5","","5",""
"6","James","30","77.0","","","142","104.5","","4",""
"7","Benjamin","46","225.0","","","126","158.0","","3",""
"8","Lucas","24","130.0","","","191","155.5","","5",""
"9","Henry","37","217.0","","","104","143.0","","4",""
"10","Alexander","44","221.0","","","143","164.5","","2",""
"11","Mason","21","200.0","","","182","173.5","","0",""
"12","Michael","31","192.0","","","149","153.0","","2",""
"13","Ethan","41","120.0","","","180","145.0","","5",""
"14","Daniel","44","109.0","","","84","91.5","","3",""
"15","Jacob","28","86.0","","","181","128.5","","1",""
"16","Logan","21","85.0","","","173","124.0","","2",""
"17","Jackson","37","155.0","","","116","130.5","","5",""
"18","Levi","29","67.0","","","83","70.0","","2",""
"19","Sebastian","33","152.0","","","88","115.0","","5",""
"20","Mateo","47","231.0","","","200","198.0","","3",""
"21","Jack","37","195.0","","","119","139.5","","3",""
"22","Owen","43","65.0","","","65","60.0","","4",""
"23","Theodore","32","216.0","","","102","141.5","","3",""
"24","Aiden","50","128.0","","","128","123.0","","5",""
"25","Samuel","39","93.0","","","64","73.5","","3",""
"26","Joseph","52","193.0","","","123","140.5","","1",""
"27","John","49","223.0","","","104","146.0","","4",""
"28","David","47","134.0","","","139","131.5","","5",""
"29","Wyatt","40","94.0","","","119","101.5","","2",""
"30","Matthew","39","67.0","","","64","60.5","","1",""
"31","Luke","26","154.0","","","82","113.0","","5",""
"32","Asher","30","143.0","","","73","103.0","","5",""
"33","Carter","45","186.0","","","191","171.0","","0",""
"34","Julian","48","111.0","","","152","126.5","","5",""
"35","Grayson","31","130.0","","","150","135.0","","5",""
"36","Leo","34","215.0","","","175","177.5","","1",""
"37","Jayden","21","61.0","","","179","115.0","","3",""
"38","Gabriel","46","67.0","","","129","93.0","","0",""
"39","Isaac","45","142.0","","","82","107.0","","5",""
"40","Lincoln","24","145.0","","","152","143.5","","5",""
"41","Anthony","27","192.0","","","177","167.0","","2",""
"42","Hudson","45","98.0","","","105","96.5","","3",""
"43","Dylan","29","234.0","","","182","190.5","","2",""
"44","Ezra","22","75.0","","","177","121.0","","0",""
"45","Thomas","31","90.0","","","93","86.5","","3",""
"46","Charles","44","89.0","","","127","103.0","","0",""
"47","Christopher","31","229.0","","","122","158.0","","3",""
"48","Jaxon","41","74.0","","","128","96.0","","1",""
"49","Maverick","40","76.0","","","147","106.5","","4",""
"50","Josiah","43","155.0","","","74","109.5","","5",""
"51","Isaiah","20","220.0","","","152","168.5","","2",""
"52","Andrew","51","159.0","","","137","143.0","","5",""
"53","Elias","45","215.0","","","102","141.0","","4",""
"54","Joshua","46","133.0","","","100","111.5","","5",""
"55","Nathan","53","129.0","","","118","118.5","","5",""
"56","Caleb","23","191.0","","","122","139.0","","0",""
"57","Ryan","33","202.0","","","64","115.5","","3",""
"58","Adrian","40","191.0","","","77","116.5","","0",""
"59","Miles","32","124.0","","","134","124.0","","5",""
"60","Eli","23","72.0","","","170","116.0","","3",""
"61","Nolan","20","132.0","","","91","106.5","","5",""
"62","Christian","21","216.0","","","81","131.0","","2",""
"63","Aaron","21","155.0","","","124","134.5","","5",""
"64","Cameron","29","229.0","","","174","184.0","","1",""
"65","Ezekiel","50","149.0","","","112","125.5","","5",""
"66","Colton","27","143.0","","","154","143.5","","5",""
"67","Luca","29","63.0","","","96","74.5","","4",""
"68","Landon","52","224.0","","","100","144.5","","2",""
"69","Hunter","36","190.0","","","82","118.5","","2",""
"70","Jonathan","37","73.0","","","171","117.0","","2",""
"71","Santiago","43","128.0","","","154","136.0","","5",""
"72","Axel","31","136.0","","","95","110.5","","5",""
"73","Easton","46","101.0","","","168","129.5","","1",""
"74","Cooper","43","116.0","","","197","151.5","","5",""
"75","Jeremiah","30","104.0","","","191","142.5","","2",""
"76","Angel","28","92.0","","","124","103.0","","2",""
"77","Roman","52","120.0","","","73","91.5","","5",""
"78","Connor","28","107.0","","","163","130.0","","1",""
"79","Jameson","48","231.0","","","186","191.0","","4",""
"80","Robert","40","133.0","","","102","112.5","","5",""
"81","Greyson","32","188.0","","","155","154.0","","4",""
"82","Jordan","49","118.0","","","102","105.0","","5",""
"83","Ian","40","84.0","","","136","105.0","","4",""
"84","Carson","41","104.0","","","92","93.0","","4",""
